X1,X2,class
979.5,-854.5,0
-935,-807.5,0
915,84.5,0
-833.5,520.5,0
445,745.5,0
533.5,-138,1
-740.5,-314.5,0
-26.5,-874,0
-962,982.5,0
-279.5,-262,1
-55,8,1
-416.5,-328.5,1
-495.5,205,1
-467,-907,0
760.5,-458.5,0
894.5,-396,0
756,679,0
702.5,446,0
-436,376.5,1
-414.5,-164,1
809.5,910,0
286,-51,1
572.5,-932,0
-615,795,0
-6.5,-366.5,1
178.5,-782.5,0
-959,-30.5,0
881,-253.5,0
516,-199,1
25.5,-488,1
534,12,1
-422.5,-836,0
-363,-441.5,1
-834.5,-533.5,0
-743,-124.5,1
-553,52,1
-130.5,521.5,1
-233.5,648.5,1
-345.5,-862.5,0
581,430.5,1
-319.5,-603,1
925,-399.5,0
742,-645,0
118,-390.5,1
-910,38,0
644.5,-356.5,1
-887,145,0
345.5,427,1
615,-335.5,1
-542.5,847,0
115,261.5,1
238.5,-814.5,0
599,-864.5,0
733.5,-29,1
6.5,-264,1
380.5,6.5,1
-355,562,1
822,-426,0
650.5,-302.5,1
77.5,-720.5,1
-474.5,-138,1
614.5,516,0
121.5,342.5,1
-5.5,-792,1
-746.5,40.5,1
681,-360.5,1
-64.5,199,1
-717.5,-287.5,1
168.5,394.5,1
698.5,-452,0
-13,324,1
641,-416.5,1
-627.5,-311.5,1
41.5,-493.5,1
-809,-533,0
208.5,-381.5,1
-958.5,338.5,0
-6,-821.5,0
103.5,-256,1
-419,617.5,1
536.5,-403,1
436.5,-905.5,0
75,-162,1
979,-462.5,0
815.5,-234.5,0
896,228.5,0
633,-906.5,0
770,424.5,0
191.5,-624.5,1
218.5,-608.5,1
-817,173,0
923.5,912,0
131,-294,1
645.5,849,0
603.5,-296,1
633.5,575.5,0
-965,437,0
-246,633,1
674.5,-993,0
745,-674,0
162,-519.5,1
-804.5,87.5,0
202.5,-969.5,0
196,-643,1
-447,441.5,1
-173,362,1
-87.5,-82,1
-724.5,517.5,0
118,660.5,1
-530,357.5,1
560.5,820,0
459.5,-552.5,1
41.5,-137,1
-852.5,-756.5,0
-443,964.5,0
315.5,-955,0
-875.5,905.5,0
-165,-543,1
-751.5,-435.5,0
-650.5,909,0
-646.5,-914.5,0
-785.5,-217,0
-322,801,0
37.5,-500.5,1
-936,-352.5,0
-708.5,290,1
160,331,1
-232.5,-497,1
217.5,239.5,1
-352.5,672.5,1
156,-510.5,1
678,-8.5,1
-253,-326,1
-788,809.5,0
-758,157.5,1
-939.5,-710.5,0
-537.5,88,1
-954.5,9,0
-59,-809,0
163,9.5,1
289.5,-780,0
620.5,480,1
-751.5,850,0
-577,440.5,1
-130,103,1
529,320,1
-722,-14,1
767.5,-489.5,0
-5,-838.5,0
-774.5,-521.5,0
-954,-478,0
911.5,47.5,0
936,664.5,0
183,677.5,1
356,-496,1
803.5,-192,0
-526.5,418,1
-999.5,921,0
-835,128,0
46.5,-550.5,1
122,854,0
896.5,-123.5,0
624.5,-638.5,0
-725,977.5,0
403,-24,1
-762,-167,1
-338,934.5,0
-622,-813,0
130.5,478,1
-973.5,200,0
103.5,-986,0
-501.5,-270,1
-213.5,-638,1
-744.5,-88,1
-393.5,-892.5,0
-648,600,0
670,533.5,0
319.5,-829,0
-459,649.5,1
140,-741,1
190.5,-555.5,1
-732,173,1
558,-491.5,1
-835.5,884.5,0
77,518,1
-261,917.5,0
807,-344.5,0
733,520.5,0
790.5,693.5,0
-307.5,119.5,1
-277.5,-215.5,1
-665.5,60.5,1
-552.5,-966,0
-237,22.5,1
9,-73,1
71.5,-943.5,0
473.5,872.5,0
-326,480,1
891.5,462.5,0
-403.5,1000,0
-267,-302,1
535.5,900.5,0
-118,248,1
125,996.5,0
-592,261,1
-48,-333.5,1
-898,-502,0
22,-313.5,1
453,-43,1
-977,-994.5,0
647,467,1
-711,843.5,0
-88.5,461.5,1
-536,588.5,1
641.5,-402,1
-609.5,624,0
733.5,-872.5,0
-311.5,486.5,1
67.5,821.5,0
-644,-261.5,1
-781.5,485,0
461.5,752,0
373.5,-654,1
-498.5,920,0
-799.5,-200.5,0
-530.5,-24.5,1
513,405,1
-22.5,-302.5,1
22.5,537.5,1
730.5,579,0
475,-424.5,1
-724.5,-227.5,1
164.5,-898.5,0
753.5,-380,0
571,993.5,0
-583.5,-509.5,1
326.5,275,1
-786.5,510.5,0
-786,280,0
-390.5,514.5,1
-506,-255.5,1
960.5,468,0
446.5,349.5,1
920.5,-67.5,0
463,138.5,1
-536.5,878,0
-743.5,793.5,0
-409.5,432,1
-565.5,-678.5,0
-697,-555.5,0
-361.5,710.5,1
-627,276.5,1
-131.5,-461,1
-940.5,70.5,0
843.5,-385.5,0
-432,-497,1
-656.5,-987,0
-87.5,-841,0
174.5,704.5,1
686,-638.5,0
-936.5,-710.5,0
145.5,459,1
-117,-800.5,0
-315.5,-816,0
98,-26.5,1
-796,-672.5,0
-856,-695,0
877,-980.5,0
-160.5,82,1
-642.5,-275.5,1
915,782.5,0
-406,-502.5,1
-163.5,272.5,1
-886,-127,0
-700.5,-804,0
-474,-636,1
-81.5,-421.5,1
-664,-556.5,0
-522.5,-4,1
526.5,-787,0
814.5,-302,0
917,567,0
588.5,-624.5,0
-452,808.5,0
691,-149,1
-333,175.5,1
897.5,194,0
-332.5,-366.5,1
-682.5,91.5,1
-184,-75.5,1
656.5,-36,1
-17.5,-918.5,0
984.5,-989.5,0
-641,547.5,0
707.5,894,0
396.5,-192,1
391,510,1
-345,718,1
941.5,-411,0
-593.5,-838,0
531,-887,0
806.5,-667.5,0
-37.5,-817,0
-495,529.5,1
908.5,497,0
261.5,899,0
293,-122.5,1
968,-49,0
290.5,351.5,1
-16.5,317.5,1
-871,-143,0
-831,102,0
417,-529,1
-412,109,1
-652,-54,1
841.5,-101.5,0
-228,-931.5,0
256.5,277,1
772.5,-409.5,0
-304.5,-255.5,1
647,780,0
-452.5,267,1
-942.5,-752.5,0
-99.5,-796,0
787.5,-426,0
283.5,-846.5,0
-564.5,376.5,1
-256,880.5,0
681,-663,0
362.5,-726,0
-935,-116,0
363.5,-488.5,1
521.5,-762,0
-453.5,-350.5,1
568,-798,0
-850,-103,0
-373.5,-257.5,1
-587,748,0
762.5,-106.5,1
-113.5,-551.5,1
-194,-133.5,1
-606.5,486.5,1
378.5,-388,1
-706,-893,0
-62.5,660.5,1
-770.5,-93.5,1
-23.5,-132,1
34.5,-554.5,1
-502.5,-847,0
-557.5,977.5,0
-574,-225,1
252,-247.5,1
-425.5,14.5,1
-632,-884,0
-877,626.5,0
-820,-746.5,0
57.5,-7,1
349,-160.5,1
803,918,0
23.5,774,1
223.5,-798,0
54.5,332,1
616.5,47,1
284,-250,1
802.5,360.5,0
-739.5,-214,1
-769.5,-205.5,1
608,648.5,0
-173.5,349.5,1
-714,967.5,0
279,-951.5,0
877.5,-642.5,0
-633.5,444,1
-24.5,926.5,0
292.5,-386.5,1
253.5,925.5,0
425.5,458,1
-127.5,131,1
405,-839.5,0
-850.5,193.5,0
268.5,111.5,1
-953.5,-196.5,0
-20,632,1
245.5,-775,0
-63,-725.5,1
93.5,-478,1
-844.5,-810.5,0
275.5,262,1
381.5,-299,1
-697,799,0
184.5,307.5,1
-712.5,674.5,0
913,-703.5,0
197,-991.5,0
149,-65,1
-183,-831,0
-31.5,424,1
291.5,573.5,1
95.5,-761,1
286.5,-19.5,1
-898.5,15.5,0
429.5,965,0
-600,-521,1
-589.5,-395,1
233.5,-521,1
-461.5,309.5,1
982,-939,0
-182.5,359,1
345.5,641.5,1
64,-723,1
724,-704,0
-92,-887,0
475,256.5,1
88.5,775.5,1
241.5,-532,1
492.5,-130,1
-532.5,910,0
335.5,496,1
327.5,774,0
-912.5,825,0
-570.5,942.5,0
-870,639.5,0
-879,413.5,0
-839,83,0
-922.5,-279,0
201,718.5,1
331.5,-498.5,1
328,-586.5,1
966,-551.5,0
-742.5,142,1
-655.5,517.5,0
-259.5,-626,1
-115,516.5,1
485,-51,1
13,895,0
-15,895.5,0
-235,-389,1
295.5,-715,1
437.5,-607.5,1
721,139.5,1
-495.5,-939.5,0
-367.5,-430.5,1
-804.5,246,0
845,-477.5,0
898,27.5,0
-745.5,-323,0
427,-478,1
-858,-169,0
-746.5,-777.5,0
-248,-679,1
313,-718.5,1
-171,781,1
777.5,-596.5,0
-69.5,250,1
59.5,851.5,0
1,-704.5,1
90,218,1
-734.5,438.5,0
-382,176.5,1
-675.5,606.5,0
1,-433,1
425.5,-931.5,0
-404,-795,0
-488,677,0
-475,-819,0
-262,659.5,1
-446.5,-599.5,1
-987.5,462,0
-381.5,308.5,1
597.5,35,1
131.5,-743,1
-191,-264.5,1
568,449.5,1
588.5,698.5,0
-957.5,572,0
-958,912,0
-930,854.5,0
941,-109,0
-850.5,833.5,0
162.5,-93,1
763,400,0
-373.5,541.5,1
562,305,1
-692.5,401,0
647.5,-563,0
-46,846,0
-581.5,-169,1
-354,-516.5,1
943.5,-944,0
-375.5,-815.5,0
627,-319.5,1
60.5,430,1
356,329,1
5,213,1
-232,-798,0
911.5,245.5,0
721.5,351,0
-849.5,953.5,0
511.5,-558.5,1
-522,-394,1
-87,-529,1
-636,-391.5,1
159,926,0
433.5,-283.5,1
-344.5,-404.5,1
-816,-222.5,0
336.5,908.5,0
-778.5,275,0
956,203.5,0
-675.5,210,1
254.5,29.5,1
796,-950.5,0
13.5,389,1
262.5,-462.5,1
-218,952,0
-56.5,-826.5,0
-785.5,305.5,0
600.5,-567.5,0
968,827,0
13,-781.5,1
-797.5,724.5,0
-573,-453.5,1
321.5,6.5,1
-793,-672,0
-479,408,1
-533,165.5,1
569,-231.5,1
-812.5,36.5,0
262,261,1
55.5,43,1
-3.5,120.5,1
439,813.5,0
-250,710,1
-734,44,1
-445,255.5,1
949,993,0
650,350.5,1
349,-251.5,1
-474.5,353,1
947.5,-169,0
-218,571,1
432.5,986.5,0
574.5,445.5,1
202.5,-65.5,1
310,-155,1
739,-131.5,1
-949,379.5,0
656,-965,0
-636,15,1
482.5,40.5,1
-309.5,-919.5,0
146,-23,1
-312,-178.5,1
-397.5,-470.5,1
-50.5,359,1
673,-747,0
-241.5,-478.5,1
533,-649,0
217.5,-850.5,0
-659.5,85.5,1
-847,938.5,0
-449,-574.5,1
908,735.5,0
658,-220,1
-887,-686,0
-563,-504,1
-774,358,0
-935.5,582,0
822.5,140.5,0
971,-699.5,0
-501.5,-992.5,0
904.5,-165.5,0
-579,445,1
-639.5,550.5,0
102,770,1
648.5,-616.5,0
789.5,-899.5,0
-864.5,-122.5,0
-679,736,0
-569.5,-842,0
-739,786,0
-212.5,31,1
55,-291,1
-355,878,0
648.5,244.5,1
-841,-633.5,0
872,-274,0
873,-395,0
-514.5,-216,1
120.5,45,1
-316.5,-782.5,0
-503,63,1
-984.5,-255,0
87.5,-259.5,1
-706.5,22,1
-531.5,-451,1
724.5,-165.5,1
-35,383.5,1
107,-738,1
81,193,1
-105,595,1
-828,541.5,0
-704.5,-307,1
17.5,-608.5,1
304,773,0
-803,104.5,0
444.5,-404,1
-238.5,143,1
254,216,1
407,-16.5,1
-487.5,-247.5,1
995.5,564,0
496.5,-509.5,1
564,-168,1
-135.5,-989,0
986,453.5,0
812.5,645.5,0
-214,502.5,1
-736.5,-555.5,0
438.5,-358.5,1
724.5,-425.5,0
74.5,790.5,1
337,392.5,1
-208,989,0
-571,456,1
-290.5,666.5,1
-997,-736.5,0
-588.5,-736.5,0
961,769,0
850.5,747.5,0
760.5,-130.5,1
455.5,464.5,1
-718.5,-937.5,0
-365.5,929.5,0
496.5,17,1
-258.5,533.5,1
118,570.5,1
-937.5,961,0
-899.5,-652.5,0
-240,-357.5,1
-601,726,0
657,-785,0
901,-128.5,0
587.5,-471.5,1
427,691,0
712,-850,0
-181.5,-703,1
-35,-11,1
6.5,57,1
-186,-630.5,1
-21,639.5,1
685,344,1
332,-939,0
-84.5,84,1
-813.5,955.5,0
697,-960,0
-427.5,-724.5,0
783.5,76.5,1
988,-644,0
-584,820.5,0
-745.5,-736,0
690,-254,1
221.5,-367.5,1
-493.5,-683.5,0
339,-692.5,1
-294.5,211,1
956.5,316.5,0
-399,-616,1
381,-82.5,1
-230,-939.5,0
817.5,-887,0
695,309.5,1
-348,-795.5,0
566.5,346.5,1
-553.5,-478,1
-230,-727,1
48,-308,1
101,-23.5,1
-817.5,-815,0
979,890,0
-894.5,903.5,0
-929.5,-590,0
419.5,63,1
-324.5,251.5,1
504.5,750,0
597.5,398.5,1
455.5,-322.5,1
-969.5,586.5,0
-261,954,0
-210,-199,1
-481.5,409.5,1
822,619,0
747,764.5,0
-598.5,867,0
-461.5,202.5,1
366.5,-657.5,1
-715,-309,1
899,256.5,0
878,-786,0
-379.5,-436.5,1
-319,129,1
-506,-542.5,1
211.5,426.5,1
195.5,247,1
363,543,1
-166.5,908.5,0
17,555.5,1
334,-301.5,1
-211.5,-278,1
-728,695.5,0
-442,997.5,0
-943.5,-263,0
-988.5,231.5,0
-633.5,-603,0
-554,523,1
-364.5,-730,0
17,866.5,0
734.5,-563.5,0
938.5,-472.5,0
-687,122,1
116.5,-567,1
-107,379.5,1
343,426.5,1
374.5,-297.5,1
-418.5,835.5,0
310,-196,1
681,702.5,0
-916,928.5,0
572,736.5,0
-644,592,0
480,-960,0
477,-124.5,1
-263,-289.5,1
-553.5,-850.5,0
75,870.5,0
889,-908,0
-196.5,971,0
-823.5,761,0
167.5,216.5,1
-54.5,438,1
337.5,347,1
-730.5,-2.5,1
659.5,-336.5,1
-124.5,-857,0
620,716,0
-577.5,-729,0
45.5,-446,1
-447.5,454.5,1
-723.5,997,0
544.5,166,1
-98.5,-211.5,1
14.5,284,1
-237,-437,1
173,826,0
-719.5,699.5,0
-764.5,-279.5,0
-110.5,-52.5,1
64.5,-480,1
-323.5,450.5,1
-172.5,-674,1
43.5,678,1
800.5,292,0
276.5,-417,1
337,412,1
478,800.5,0
989,-275.5,0
289,246.5,1
135,627.5,1
134.5,874,0
-300.5,224.5,1
882.5,-903,0
-79.5,730,1
-918.5,813,0
-388,-602.5,1
253.5,-416.5,1
-86,-741,1
-287,214.5,1
-514.5,659,0
-881,-456,0
4,399,1
773.5,-815.5,0
941.5,476,0
277,895,0
-142,140.5,1
-823.5,297.5,0
301,-313.5,1
-739,518.5,0
551.5,-579.5,1
926.5,-567.5,0
-436.5,519.5,1
-770,-383.5,0
100.5,880.5,0
-203,-459.5,1
491.5,247.5,1
-397,938.5,0
761.5,225,1
-952.5,-874,0
261.5,620.5,1
734.5,550,0
892,-983.5,0
-259,158.5,1
-932,-354,0
-244.5,888.5,0
136,-11.5,1
-184.5,-590,1
885.5,-975,0
869.5,631,0
-701,802,0
233,-248.5,1
-891.5,-600.5,0
834.5,587,0
-248.5,-739,1
-637.5,-369.5,1
-65.5,438,1
805.5,275.5,0
201.5,875.5,0
976,1.5,0
971,887,0
341,-99,1
509,-747,0
-473,823,0
-456,-685.5,0
296,269.5,1
947,748.5,0
947,-672,0
864,-671.5,0
-256.5,-872,0
460.5,-402,1
263.5,284.5,1
102.5,661.5,1
-881,21.5,0
-508,358,1
929.5,-141,0
-845,315,0
-379,471.5,1
199.5,925,0
378,-157.5,1
-39.5,64.5,1
150.5,84,1
325,892,0
-768,896,0
-686.5,144.5,1
14,732.5,1
37.5,-696.5,1
331,-590.5,1
-289.5,-359,1
-859.5,779.5,0
793.5,709,0
215,906.5,0
-504.5,403.5,1
15.5,-764,1
-418.5,486.5,1
829,-151.5,0
369.5,19,1
210.5,-981.5,0
-516.5,428.5,1
-472,-47.5,1
-128.5,-470,1
-158.5,884,0
554.5,-520.5,1
-467,-325,1
101.5,-243.5,1
-657,652.5,0
-582,-893.5,0
955,800.5,0
726.5,311.5,1
-286.5,982.5,0
-917,818,0
-783.5,335,0
-525,242,1
-83.5,227,1
-430.5,-762.5,0
653,-221,1
-831,842,0
874.5,-582,0
-745,-421,0
-252,-531.5,1
813.5,-481,0
797,-316,0
-315.5,-935,0
-715.5,616,0
-643.5,885.5,0
-766,-976.5,0
930.5,-396,0
134.5,-320.5,1
-831,987,0
-161.5,406.5,1
759.5,-274,0
-787,277,0
612,629.5,0
-578,-160.5,1
-227,562.5,1
-157,-666.5,1
252,801.5,0
139,-656.5,1
914.5,-303,0
-80,62,1
504,-752.5,0
36,-427,1
-355.5,-489,1
315.5,-967.5,0
-826.5,-305,0
-261.5,-642,1
258.5,66,1
-13,-458.5,1
203,-649,1
-970.5,-128.5,0
-18.5,904.5,0
433.5,-289,1
362,-728.5,0
-420,-36,1
-905,710,0
678.5,-853.5,0
-5.5,758.5,1
-560.5,919.5,0
-168.5,283.5,1
-812,-825,0
866.5,544.5,0
591.5,656.5,0
-259.5,329,1
-151,-708,1
-925,-477.5,0
744,812.5,0
-960,477,0
-888,-860.5,0
992,93,0
-639.5,-739,0
-873.5,-674.5,0
679.5,358,1
284,768,0
-501,-136.5,1
-276,857.5,0
-714.5,79.5,1
-50,7,1
630.5,973.5,0
-552,50,1
254,394.5,1
329.5,-605,1
93.5,-19.5,1
-805,508,0
64,424,1
73,291,1
399.5,526.5,1
-820.5,-493,0
720,46.5,1
-910,-994.5,0
616,-288.5,1
-267,-635.5,1
-577,782,0
108.5,-416,1
-806,-112,0
-809,-652.5,0
-534,-352.5,1
333,382.5,1
-565.5,114,1
20.5,316,1
-211.5,563,1
718.5,-324.5,1
-695,111.5,1
238,-399.5,1
297,-182,1
-699.5,891,0
-348,238.5,1
-388,-19,1
-808,-339.5,0
-709.5,212.5,1
-123,38,1
-432.5,132.5,1
573,465,1
-628,-4.5,1
633,-744.5,0
957,-743.5,0
304.5,-580.5,1
495,-928,0
-17,-147.5,1
-374,-900,0
367,891.5,0
-106,-830,0
741,829,0
-549,-333.5,1
-802.5,-922.5,0
449.5,356.5,1
628,-978.5,0
-298.5,130.5,1
686,-597.5,0
-663.5,-346,1
578,200.5,1
842.5,-866,0
984.5,730,0
-774.5,805.5,0
-8,819,0
721,-881.5,0
-320,165.5,1
863,26.5,0
477,998,0
440.5,416.5,1
-730.5,-568,0
-983.5,538.5,0
-776,622.5,0
646.5,-626.5,0
937.5,-902,0
-869,886.5,0
-323.5,-524,1
211.5,-200.5,1
-736.5,-765,0
860.5,-391,0
-47,954,0
591.5,854.5,0
-766,828,0
-112,822,0
285,59.5,1
172.5,-907.5,0
272.5,565.5,1
918.5,-333.5,0
657.5,348.5,1
641.5,-972,0
439.5,-683.5,0
-476.5,56.5,1
793,606.5,0
-517,-901.5,0
-699.5,915,0
681,-916,0
-728,226.5,1
82,-125,1
22.5,-741,1
112.5,306,1
-440,317.5,1
660,-365.5,1
151,419.5,1
-830.5,-818.5,0
853.5,-422.5,0
396,947.5,0
346.5,-532,1
-556,-132.5,1
760,-681.5,0
-753,-89,1
-161,388.5,1
888,-165,0
641,863.5,0
812,767.5,0
990.5,905.5,0
-688.5,-906,0
615.5,-141,1
-132.5,-11,1
-636.5,516.5,0
497,-886,0
444,840,0
-954,12,0
919,-213.5,0
-433.5,-273.5,1
807,301.5,0
-493,-586,1
936,314,0
414,-742.5,0
502,-618,1
-428.5,-695,0
864.5,-186.5,0
668.5,-519.5,0
-764,-646.5,0
288.5,2,1
-251,-626,1
-538.5,-252.5,1
260,922.5,0
664.5,41,1
-958,548.5,0
440,-86.5,1
-885.5,-877.5,0
-808,-940.5,0
73,-123.5,1
-632,738.5,0
757,802,0
677,-641,0
-104.5,-938,0
562,772,0
818.5,400.5,0
967,23,0
839.5,-660,0
496,-699.5,0
613.5,35,1
440.5,-782.5,0
276.5,708.5,1
312,882,0
938,-764,0
75.5,272.5,1
-717.5,-479,0
686.5,0,1
-15.5,495,1
213,-19.5,1
9,-556,1
-279.5,636,1
30.5,-885,0
-317,-918.5,0
874.5,-300.5,0
-514.5,13,1
-643,501,0
-935.5,665.5,0
-740,-967,0
-418.5,357,1
-821.5,-640,0
-692,-513,0
161.5,-753,1
415,977.5,0
-190.5,80,1
201.5,-673,1
776.5,-79,1
329,782.5,0
949,424,0
150,994.5,0
-887,-45,0
-402,642,1
117,-0.5,1
285,378.5,1
-91.5,89.5,1
-801.5,-367,0
-125,296.5,1
534,-991.5,0
248,-387,1
-72.5,324.5,1
-253.5,-447.5,1
167,-664.5,1
787,-812.5,0
-819,234,0
632.5,271.5,1
-333,-577.5,1
69,17,1
-477.5,131,1
-15,-823,0
920.5,-364,0
-461,-700,0
-271.5,175.5,1
-98,-66,1
636,-996.5,0
577.5,-902,0
-362,-150,1
-302.5,-709,1
-360,550,1
586,523,1
-599.5,648.5,0
573.5,847.5,0
-985,893.5,0
450,817.5,0
602,-833.5,0
-365,679,1
-282,-2,1
-549,-513.5,1
167,926.5,0
648,-288,1
-621.5,-430.5,1
-704,-198,1
-964,336,0
24,-560,1
999.5,-648.5,0
-631.5,560.5,0
-53,-912,0
-912.5,488,0
390,-30,1
639,-600.5,0
-535,-493,1
-206,923.5,0
774,-952.5,0
-674,-879,0
141,882,0
230.5,539.5,1
-688.5,978.5,0
351.5,57.5,1
492.5,-237,1
964,-725.5,0
419.5,523.5,1
-501.5,913,0
605,344,1
-422,-408,1
547,495,1
-209.5,149,1
-792.5,975,0
-42,407,1
500,958.5,0
-195,-336.5,1
-94.5,-549,1
-284,-835,0
725.5,213,1
-572,985,0
-956.5,-405.5,0
-59,18.5,1
779,8,1
762.5,954.5,0
547.5,714,0
415.5,945,0
47,-798,1
-864.5,-659.5,0
455,991,0
605.5,728.5,0
-597.5,866.5,0
474.5,305.5,1
721.5,-144.5,1
-341.5,-652.5,1
444.5,-427.5,1
748.5,966.5,0
-464,-62.5,1
874.5,589.5,0
-944.5,353,0
882,-565,0
2.5,887,0
-771.5,567,0
503,-304,1
225.5,665.5,1
408,-930.5,0
-12,747,1
792.5,-86.5,1
45.5,661.5,1
911.5,-512.5,0
3,-447,1
343.5,426.5,1
495,-949,0
306.5,-407.5,1
761.5,-417.5,0
-917,-519.5,0
-393.5,632,1
-826,655.5,0
647.5,11,1
-773.5,-575.5,0
717.5,-698,0
-858,-327.5,0
37,-369,1
537,-243.5,1
64,594,1
98.5,693.5,1
880.5,504.5,0
701.5,-747,0
396,-373,1
248.5,-1.5,1
-993.5,195.5,0
883,717.5,0
795,-488,0
684,128,1
965,602.5,0
402,-323,1
-558.5,550,1
-68,929,0
-636,616,0
945,-728.5,0
1000,-150,0
-926.5,584.5,0
618.5,-129.5,1
508,634,0
460.5,183.5,1
475.5,468.5,1
646,-662,0
-651,975,0
-335,693,1
-350.5,386.5,1
-395.5,171,1
-734,-40,1
211.5,-88,1
363,-5,1
219,565.5,1
48.5,-256,1
-615,960.5,0
420.5,-614.5,1
-358,-634.5,1
-517.5,-397,1
-519.5,-31.5,1
397,466.5,1
-732.5,-238,1
-198.5,632,1
552.5,177,1
-357,197.5,1
385,45,1
-289,310,1
564.5,585,0
962,92.5,0
-164,-220.5,1
-449,-106,1
426,-429,1
136.5,81,1
-726.5,264.5,1
-87.5,270.5,1
621.5,773.5,0
-339.5,-560.5,1
1000,667.5,0
577,-1,1
-720.5,675,0
-681.5,-545.5,0
781,917.5,0
-441,-687,0
770.5,281,0
-644.5,-352.5,1
263,-223,1
-372,-334,1
894.5,800,0
835.5,-121,0
-923.5,227,0
950,679.5,0
558,789,0
611,511.5,1
851,574.5,0
572.5,727.5,0
818.5,856,0
385.5,943,0
199,-453,1
-60,-17,1
-423,136,1
703.5,-210.5,1
-794.5,319.5,0
-192,-977.5,0
-702.5,507,0
-543,-255.5,1
374,-509.5,1
48.5,-94.5,1
-484.5,-459,1
173,-481.5,1
751,-746.5,0
-247,-863,0
-560.5,-73,1
476.5,836,0
382.5,-865.5,0
522.5,-236.5,1
-328,728,1
-515.5,257,1
951.5,-524.5,0
56.5,189,1
567.5,225.5,1
-346.5,20,1
843,986,0
-198.5,-855.5,0
-280.5,-830.5,0
644.5,8.5,1
604,-260,1
-538,-983,0
831.5,-921,0
